Model,Accuracy,F1_Score,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
Custom CNN,0.6190476190476191,0.75,0.6203703703703705,1,8,0,12
ResNet-18 (Learned Weights),0.5238095238095238,0.6875,0.3888888888888889,0,9,1,11
ResNet-18 (Pretrained-Frozen),0.5714285714285714,0.6896551724137931,0.5277777777777779,2,7,2,10
ResNet-18 (Pretrained-FineTuned),0.6190476190476191,0.5,0.6666666666666666,9,0,8,4
ViT-B/16 (Pretrained-Frozen),0.6190476190476191,0.7333333333333333,0.5370370370370371,2,7,1,11
ViT-B/16 (Pretrained-FineTuned),0.5714285714285714,0.7096774193548387,0.5787037037037037,1,8,1,11
